fips,DATE,YEAR,HHI
01001,dec2014,2014,636.827188263799
01001,dec2015,2015,716.280079999008
01001,jun2015,2015,834.481091353834
01001,dec2016,2016,711.738888343708
01001,jun2016,2016,711.163528131554
01001,dec2017,2017,759.17032556481
01001,jun2017,2017,717.752106974243
01001,dec2018,2018,717.747527619806
01001,jun2018,2018,662.988224208213
01003,dec2014,2014,988.456869647791
01003,dec2015,2015,1080.56339841806
01003,jun2015,2015,965.141751133388
01003,dec2016,2016,1160.12157043016
01003,jun2016,2016,1093.95447725106
01003,dec2017,2017,1031.90049333556
01003,jun2017,2017,1062.38029002823
01003,dec2018,2018,1033.83313981468
01003,jun2018,2018,948.168574495765
01005,dec2014,2014,450.084644793315
01005,dec2015,2015,490.226997213232
01005,jun2015,2015,511.057210088433
01005,dec2016,2016,416.67091286792
01005,jun2016,2016,441.722388683166
01005,dec2017,2017,421.188735810626
01005,jun2017,2017,497.990285870941
01005,dec2018,2018,514.075437227868
01005,jun2018,2018,462.372853954882
01007,dec2014,2014,319.465412376817
01007,dec2015,2015,321.184727715694
01007,jun2015,2015,336.838110782783
01007,dec2016,2016,400.211760789095
01007,jun2016,2016,312.328763524264
01007,dec2017,2017,428.530928249303
01007,jun2017,2017,415.900947177837
01007,dec2018,2018,484.777603583773
01007,jun2018,2018,480.737817594952
01009,dec2014,2014,475.842494120794
01009,dec2015,2015,517.813962624918
01009,jun2015,2015,510.292960389222
01009,dec2016,2016,558.682084795801
01009,jun2016,2016,552.506203734583
01009,dec2017,2017,534.180086496448
01009,jun2017,2017,559.763428104552
01009,dec2018,2018,526.190927173492
01009,jun2018,2018,531.026683351182
01011,dec2014,2014,295.78444447785
01011,dec2015,2015,291.10455512658
01011,jun2015,2015,303.306112110805
01011,dec2016,2016,181.780319283657
01011,jun2016,2016,378.438163507107
01011,dec2017,2017,239.489712491087
01011,jun2017,2017,181.828924287507
01011,dec2018,2018,249.536263131021
01011,jun2018,2018,248.053022175051
01013,dec2014,2014,530.496643040382
01013,dec2015,2015,455.505594578435
01013,jun2015,2015,473.006189844173
01013,dec2016,2016,458.989834542211
01013,jun2016,2016,462.387255569838
01013,dec2017,2017,687.863327649553
01013,jun2017,2017,459.883158847965
01013,dec2018,2018,831.12478782052
01013,jun2018,2018,515.848558811599
01015,dec2014,2014,578.814414578735
01015,dec2015,2015,618.763664234994
01015,jun2015,2015,664.776594976902
01015,dec2016,2016,621.888683028522
01015,jun2016,2016,621.779871403841
01015,dec2017,2017,720.479425892375
01015,jun2017,2017,700.257105711241
01015,dec2018,2018,788.385543058682
01015,jun2018,2018,766.731031969039
01017,dec2014,2014,545.157251345085
01017,dec2015,2015,585.693934395729
01017,jun2015,2015,584.814073766979
01017,dec2016,2016,572.414501790895
01017,jun2016,2016,572.246726281514
01017,dec2017,2017,728.453559168553
01017,jun2017,2017,328.392381897375
01017,dec2018,2018,724.319209217788
01017,jun2018,2018,725.368030290496
01019,dec2014,2014,403.027980696561
01019,dec2015,2015,346.100695648876
